shRNA_ID,Target_Gene,RTN_A,RTN_B,Predictive_Effect,Timepoint,Dosage,Gene_Category,Sort_Order
B2m_10,B2m,0.0041315592011991155,0.0047351475554025775,-0.1967230429520895,T10,3.5nM,Other,4
B2m_01,B2m,0.005508613752730166,0.0054577721725442025,0.013377136574382947,T13,0.6nM,Other,4
B2m_02,B2m,0.005201976092606162,0.004946870593155721,0.07254360886858482,T13,0.6nM,Other,4
B2m_03,B2m,0.005606711061199956,0.0054362742815015535,0.044536475614316465,T13,0.6nM,Other,4
B2m_04,B2m,0.0055137376711827,0.005718809162840271,-0.052684134056453946,T13,0.6nM,Other,4
B2m_05,B2m,0.005388855339390005,0.004836579857412474,0.15599163933795496,T13,0.6nM,Other,4
B2m_06,B2m,0.005642939092455294,0.005868950191783443,-0.05665568658451355,T13,0.6nM,Other,4
B2m_07,B2m,0.005611856525987416,0.005886868348557849,-0.06902223903109249,T13,0.6nM,Other,4
B2m_08,B2m,0.005506727728910457,0.00579911822826203,-0.07463827263133178,T13,0.6nM,Other,4
B2m_09,B2m,0.005939712947165915,0.005499888006141082,0.11099096910478475,T13,0.6nM,Other,4
B2m_10,B2m,0.004047421675416399,0.004611275203757278,-0.18816260708889426,T13,0.6nM,Other,4
B2m_01,B2m,0.005170086708096102,0.0054577721725442025,-0.07812369613802277,T13,3.5nM,Other,4
B2m_02,B2m,0.005078040618350855,0.004946870593155721,0.03775577484713103,T13,3.5nM,Other,4
B2m_03,B2m,0.006009653531775076,0.0054362742815015535,0.1446635715537484,T13,3.5nM,Other,4
B2m_04,B2m,0.0060105611274200695,0.005718809162840271,0.07178491929094774,T13,3.5nM,Other,4
B2m_05,B2m,0.0051619065037415875,0.004836579857412474,0.0939167908907674,T13,3.5nM,Other,4
B2m_06,B2m,0.005719426539589246,0.005868950191783443,-0.03723196249396887,T13,3.5nM,Other,4
B2m_07,B2m,0.006119906587401586,0.005886868348557849,0.05600926799150828,T13,3.5nM,Other,4
B2m_08,B2m,0.005477352064520636,0.00579911822826203,-0.08235493659853771,T13,3.5nM,Other,4
B2m_09,B2m,0.00578231481972205,0.005499888006141082,0.07224491745009284,T13,3.5nM,Other,4
B2m_10,B2m,0.004239882905839724,0.004611275203757278,-0.12114134726932571,T13,3.5nM,Other,4
Bcl2_01,Bcl2,0.005680888270338381,0.005825377511762142,-0.03623501734309363,T7,0.6nM,Other,4
Bcl2_02,Bcl2,0.005187277648377722,0.005400517488420935,-0.05812006399620462,T7,0.6nM,Other,4
Bcl2_03,Bcl2,0.005813930095085648,0.00561665988400054,0.049801281676202964,T7,0.6nM,Other,4
Bcl2_04,Bcl2,0.005220783132417862,0.005291470510111306,-0.019402474447191714,T7,0.6nM,Other,4
Bcl2_05,Bcl2,0.006038661395610682,0.005771430823162369,0.06529975068386504,T7,0.6nM,Other,4
Bcl2_06,Bcl2,0.005580407750334348,0.005655526219050228,-0.019290725145223956,T7,0.6nM,Other,4
Bcl2_07,Bcl2,0.005339595252827052,0.005344021588894266,-0.001195447862548595,T7,0.6nM,Other,4
Bcl2_08,Bcl2,0.005270249671966502,0.005229973028906338,0.01106780300675732,T7,0.6nM,Other,4
Bcl2_09,Bcl2,0.005576421733441251,0.005708729662950833,-0.0338300716616568,T7,0.6nM,Other,4
Bcl2_10,Bcl2,0.004688170556804821,0.004776165114874345,-0.026827655974719075,T7,0.6nM,Other,4
Bcl2_01,Bcl2,0.0053818588281198945,0.005825377511762142,-0.11424699814640338,T7,3.5nM,Other,4
Bcl2_02,Bcl2,0.005086216445776578,0.005400517488420935,-0.08650479809062006,T7,3.5nM,Other,4
Bcl2_03,Bcl2,0.006299077001774457,0.00561665988400054,0.16542800388154885,T7,3.5nM,Other,4
Bcl2_04,Bcl2,0.005481616206150583,0.005291470510111306,0.05093261594181257,T7,3.5nM,Other,4
Bcl2_05,Bcl2,0.005753125953260742,0.005771430823162369,-0.0045829731678732,T7,3.5nM,Other,4
Bcl2_06,Bcl2,0.005977044732272098,0.005655526219050228,0.07977107377337074,T7,3.5nM,Other,4
Bcl2_07,Bcl2,0.005496250209795257,0.005344021588894266,0.04052184645204276,T7,3.5nM,Other,4
Bcl2_08,Bcl2,0.005227697247133305,0.005229973028906338,-0.0006279140656120977,T7,3.5nM,Other,4
Bcl2_09,Bcl2,0.005792667649276973,0.005708729662950833,0.021058148561075043,T7,3.5nM,Other,4
Bcl2_10,Bcl2,0.004672555461722334,0.004776165114874345,-0.031640923896501874,T7,3.5nM,Other,4
Bcl2_01,Bcl2,0.005542071055673718,0.0059405678411519015,-0.10017563259668724,T10,0.6nM,Other,4
Bcl2_02,Bcl2,0.005388912634362919,0.005664519027149355,-0.07195926459356902,T10,0.6nM,Other,4
Bcl2_03,Bcl2,0.005918028986638478,0.0057677086374899374,0.03711847590022721,T10,0.6nM,Other,4
Bcl2_04,Bcl2,0.005188697534314333,0.005756320450578915,-0.14977446915490528,T10,0.6nM,Other,4
Bcl2_05,Bcl2,0.006032977856535974,0.005978610400509153,0.013060087169045102,T10,0.6nM,Other,4
Bcl2_06,Bcl2,0.005474697199796456,0.005939805726369856,-0.11763657261882998,T10,0.6nM,Other,4
Bcl2_07,Bcl2,0.005335869779643982,0.005519583475392111,-0.04883594254436103,T10,0.6nM,Other,4
Bcl2_08,Bcl2,0.004996725072236524,0.00538933360680821,-0.10912405332324648,T10,0.6nM,Other,4
Bcl2_09,Bcl2,0.0053000076579723535,0.005702089749855796,-0.10549630298714362,T10,0.6nM,Other,4
Bcl2_10,Bcl2,0.004321895157011428,0.004518896523382375,-0.06430644671644223,T10,0.6nM,Other,4
Bcl2_01,Bcl2,0.005620519649278724,0.0059405678411519015,-0.07989731848696473,T10,3.5nM,Other,4
Bcl2_02,Bcl2,0.005381866962418327,0.005664519027149355,-0.07384673380277854,T10,3.5nM,Other,4
Bcl2_03,Bcl2,0.007218234054427451,0.0057677086374899374,0.32364763701599686,T10,3.5nM,Other,4
Bcl2_04,Bcl2,0.005543958286506196,0.005756320450578915,-0.05423050571634034,T10,3.5nM,Other,4
Bcl2_05,Bcl2,0.006056258348703005,0.005978610400509153,0.018616549388212562,T10,3.5nM,Other,4
Bcl2_06,Bcl2,0.006436715604307721,0.005939805726369856,0.11590898167544689,T10,3.5nM,Other,4
Bcl2_07,Bcl2,0.005748237191892935,0.005519583475392111,0.058560192604731914,T10,3.5nM,Other,4
Bcl2_08,Bcl2,0.005483845701044774,0.00538933360680821,0.025081084376591723,T10,3.5nM,Other,4
Bcl2_09,Bcl2,0.005726417929986535,0.005702089749855796,0.006142218884106883,T10,3.5nM,Other,4
Bcl2_10,Bcl2,0.005219491402215949,0.004518896523382375,0.20793871290301183,T10,3.5nM,Other,4
Bcl2_01,Bcl2,0.005364454378686464,0.005993798953047981,-0.16003925186050322,T13,0.6nM,Other,4
Bcl2_02,Bcl2,0.005697832557841781,0.005919415790802015,-0.055041572113992736,T13,0.6nM,Other,4
Bcl2_03,Bcl2,0.006644411223637184,0.006191130614849723,0.10193846841084236,T13,0.6nM,Other,4
Bcl2_04,Bcl2,0.005596727886871719,0.005465974621659618,0.034104844058469905,T13,0.6nM,Other,4
Bcl2_05,Bcl2,0.005515284021458273,0.005875535222680315,-0.09128509528367455,T13,0.6nM,Other,4
Bcl2_06,Bcl2,0.005935754450420699,0.0062286372721289856,-0.06948514683101757,T13,0.6nM,Other,4
Bcl2_07,Bcl2,0.006027869502479538,0.005820738060211678,0.05044608818736992,T13,0.6nM,Other,4
